ticket_id,customer_id,issue_category,description,sentiment,priority
TKT-174589,C00001,Feature Request,"Terrible experience, not working as expected.",Negative,Medium
TKT-497872,C00001,Integration,"Terrible experience, not working as expected.",Neutral,Low
TKT-158451,C00001,Account,"Terrible experience, not working as expected.",Negative,Medium
TKT-398918,C00001,Technical,Your API is too slow and throwing 500 errors.,Negative,Low
TKT-251214,C00001,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-475684,C00002,Technical,Can't log in since yesterday.,Negative,Low
TKT-208383,C00002,Technical,Can't log in since yesterday.,Neutral,Low
TKT-762867,C00002,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-741235,C00002,Security,"Terrible experience, not working as expected.",Negative,Medium
TKT-304063,C00002,Integration,"Terrible experience, not working as expected.",Negative,Low
TKT-821813,C00003,Feature Request,Just a general question about features.,Positive,High
TKT-218295,C00003,Integration,Just a general question about features.,Neutral,Low
TKT-524540,C00003,Security,Just a general question about features.,Positive,High
TKT-380501,C00004,Security,Just a general question about features.,Positive,Low
TKT-455459,C00004,Billing,Can you send me last month's receipt?,Positive,Medium
TKT-193538,C00004,Security,Just a general question about features.,Neutral,Low
TKT-636175,C00004,Integration,Just a general question about features.,Neutral,Medium
TKT-988604,C00004,Billing,Update credit card info.,Positive,Low
TKT-625673,C00004,Technical,Works great but I have a question on API limits.,Positive,Low
TKT-391334,C00005,Performance,"Terrible experience, not working as expected.",Neutral,Medium
TKT-866227,C00005,Feature Request,"Terrible experience, not working as expected.",Negative,Low
TKT-607109,C00005,Performance,"Terrible experience, not working as expected.",Negative,Medium
TKT-651367,C00005,Billing,"Cancel my subscription, too expensive.",Negative,Low
TKT-515052,C00005,Technical,Can't log in since yesterday.,Negative,Low
TKT-121684,C00006,Performance,Just a general question about features.,Positive,Low
TKT-604575,C00007,Account,Just a general question about features.,Neutral,Low
TKT-271332,C00008,Performance,"Terrible experience, not working as expected.",Negative,Low
TKT-868611,C00008,Integration,"Terrible experience, not working as expected.",Negative,High
TKT-562850,C00008,Billing,I was overcharged on my last invoice.,Negative,Low
